YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
2010/02,All Fire/Emergency Incidents,Staten Island,2456,05:34
2010/02,All Fire/Emergency Incidents,Brooklyn,10863,04:15
2010/02,All Fire/Emergency Incidents,Queens,7519,04:58
2010/02,False Alarm,Citywide,1548,04:35
2010/02,False Alarm,Manhattan,268,04:46
2010/02,False Alarm,Bronx,304,04:47
2010/02,False Alarm,Staten Island,137,04:35
2010/02,False Alarm,Brooklyn,390,04:04
2010/02,False Alarm,Queens,449,04:48
2010/02,Medical Emergencies,Citywide,14517,04:25
2010/02,Medical Emergencies,Manhattan,3511,04:27
2010/02,Medical Emergencies,Bronx,2772,04:25
2010/02,Medical Emergencies,Staten Island,759,04:50
2010/02,Medical Emergencies,Brooklyn,4311,04:05
2010/02,Medical Emergencies,Queens,3164,04:44
2010/02,Medical False Alarm,Citywide,278,04:28
2010/02,Medical False Alarm,Manhattan,58,04:31
2010/02,Medical False Alarm,Bronx,57,04:48
2010/02,Medical False Alarm,Staten Island,12,05:05
2010/02,Medical False Alarm,Brooklyn,80,03:52
2010/02,Medical False Alarm,Queens,71,04:45
2010/02,NonMedical Emergencies,Citywide,16672,05:02
2010/02,NonMedical Emergencies,Manhattan,4212,04:57
2010/02,NonMedical Emergencies,Bronx,3146,05:10
2010/02,NonMedical Emergencies,Staten Island,1437,06:06
2010/02,NonMedical Emergencies,Brooklyn,4824,04:32
2010/02,NonMedical Emergencies,Queens,3053,05:19
2010/02,NonStructural Fires,Citywide,1848,04:14
2010/02,NonStructural Fires,Manhattan,630,04:12
2010/02,NonStructural Fires,Bronx,207,04:32
2010/02,NonStructural Fires,Staten Island,35,04:27
2010/02,NonStructural Fires,Brooklyn,584,03:55
2010/02,NonStructural Fires,Queens,392,04:34
2010/02,Structural Fires,Citywide,2202,04:01
2010/02,Structural Fires,Manhattan,510,04:07
2010/02,Structural Fires,Bronx,552,04:05
2010/02,Structural Fires,Staten Island,76,04:26
2010/02,Structural Fires,Brooklyn,674,03:35
